,filename,rmse,chroma_stft,spec_cent,spec_bw,rolloff,zcr,mfcc0,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,raga
4377,Prasanna Venkataraman - Chalamela Jesevura.mp3-8,0.07049167156219482,0.2745941944740563,1405.3286098324822,1895.9337510919652,2803.2080493844333,0.04852011476876935,-235.8896583644802,127.31602352528512,-3.434595295610679,30.85332137031774,6.295642948480847,6.247284903271593,-4.337851183506219,-6.73597298157516,-16.394888721399788,-5.568278143243417,-4.428565902501555,1.1953735558417578,-5.226333868488362,-1.8032256749245017,-2.859531158356915,7.143003561131918,-6.782803824561597,2.7458150235190724,2.381251441424153,-5.11291493108617,darbar
4378,Prasanna Venkataraman - Chalamela Jesevura.mp3-9,0.09049470722675323,0.33362704211286975,1740.6580260166677,2137.6486953589438,3628.136394488922,0.06430006470104489,-159.40999203526545,118.11865269657034,-5.419163382327276,29.019129116873195,3.150104180406784,2.2411480419453946,-10.90285963695268,-4.402387015417208,-14.92099814630959,-0.17881587954090103,-5.447943022564649,2.538899523658069,-5.9761139104209615,3.3835705999151715,-7.299875683070674,5.2830244619108795,-9.614489068589695,4.50250755065695,-4.498519335020837,-3.155303798608699,darbar
4379,Prasanna Venkataraman - Chalamela Jesevura.mp3-10,0.08307583630084991,0.329821799970803,1730.2589285971226,2091.2676119824287,3540.478591210333,0.06545878785313468,-165.42200482718513,119.41689587704766,-8.631955831452576,29.39573824310801,2.5993582709289913,1.4466472695364028,-11.906308448648373,-3.520606603628959,-13.107706162191866,-1.3792060769790735,-6.207838372085724,0.3624556412019191,-5.771413539954296,1.780180731349854,-7.102726342807752,4.515536738994007,-8.12109065978739,3.3859896255048723,-4.017051784339473,-2.561658651454189,darbar
4380,R. K. Srikantan - Shoure.mp3-1,0.08161170780658722,0.38974812790875596,3241.571972445675,1788.3896673908882,5117.477388647688,0.270167678502322,-168.34093251934672,37.048811807264244,-82.46860252908124,85.347284852311,-3.3009928726822975,37.47966249823225,-15.485283710966565,17.083401701471157,-8.703421113207899,22.226989599137973,-3.0835422593854944,12.126363924279183,3.2973423659109597,-0.12911815649891545,-1.362546465878697,1.822966758995892,-3.2189866971650476,0.49058734774984625,1.0268636610452808,1.2782371301075413,darbar
4381,R. K. Srikantan - Shoure.mp3-2,0.11371061950922012,0.3991837861620644,3164.6765267048672,1641.989570979704,4741.887993118711,0.27347907193304954,-125.67461840011082,48.91343588581802,-94.64949380492801,85.7966294704315,-19.435039678762426,32.49874545834507,-18.917797842250472,8.600223507653844,-7.505822745589473,26.574381137179365,-2.9362596683653988,10.1790984665457,1.630760076237302,-0.37713637445990894,8.044647459060034,-4.418895500713439,-1.60252008464715,1.5765443852331034,-0.011307610616158073,-1.611043793516501,darbar
4382,R. K. Srikantan - Shoure.mp3-3,0.11250846087932587,0.4004677816544246,3184.761162434911,1645.8622020826608,4758.687891532024,0.2719382649235681,-127.03646114349952,41.658582863322685,-91.37399148859899,86.96112778496236,-12.972495071385325,27.775610542380026,-22.82606910192464,8.687856411119373,-7.635532800259484,27.72313564139246,-5.659500451043888,12.65456967895571,2.985485503717135,1.2687839734766309,5.5146427243585965,-2.927161197014004,1.2472682999508653,4.6711981780501235,-2.139043227158979,0.18371142976413513,darbar
4383,R. K. Srikantan - Shoure.mp3-4,0.1475052684545517,0.3702168042990668,3178.8131330625274,1641.3456897377498,4781.654419323239,0.26010500314434987,-111.32958389447434,35.16444625819301,-95.16590138788085,77.70996236551531,-20.928588483951238,27.596144133648824,-20.003594578162822,11.933480010290571,-2.601145058020907,29.1146240378325,-3.2195915613541204,10.41682252918243,-1.1738966584905408,2.437754170859935,2.1168551816099526,-2.23473124668125,1.999308945493579,0.691185805518472,-6.545449514488061,1.0779000232903273,darbar
4384,R. K. Srikantan - Shoure.mp3-5,0.10651155561208725,0.316713230170831,3506.5937862680444,1959.6692806744643,5607.5160921173565,0.2736472492985681,-134.74536747982765,0.901361608998951,-79.47154365013384,53.929684770546686,8.79057477956217,24.315693598762127,-5.768279685514218,22.722559866366648,-9.039458293955693,26.426310891286086,-9.069732558510875,14.804353760964265,-1.3727400562450698,4.931792783087078,0.4441028238835701,19.475873502855592,0.6104577802550883,7.184806144747368,1.8284245703094675,3.6399118145378075,darbar
4385,R. K. Srikantan - Shoure.mp3-6,0.10790885984897614,0.40812328413185617,3355.439103594798,2019.8703741734773,5525.866585840751,0.2549217389464009,-109.94073170704156,17.802537674134566,-71.73382729526554,58.75471923412846,13.265826243742701,19.66557894665184,-8.296683809799388,14.457537269187567,-14.410113224917174,23.3139878841531,-11.564704933462847,13.564399507220928,-2.424261427492284,1.8764028407665585,-5.186075324299919,11.262428979761973,-5.07439274707117,5.032899451895461,-0.9557809694456674,6.305602669462459,darbar
4386,R. K. Srikantan - Shoure.mp3-7,0.17228345572948456,0.4139934796233015,2798.677600033946,1745.1714527259412,4408.565008677197,0.21273945433436534,-61.152334430944485,61.91540986321728,-79.69603240413979,64.40343847456398,-4.547584836164189,8.927049828767656,-17.87259636201191,8.241171815332473,-11.942739273671483,23.9272952265963,-7.7477333688293415,14.282436475594453,-2.0541702819637075,5.613825863727715,0.22245510996163967,-0.7996902476372894,-6.206596257567891,0.2531538341904256,-7.8853572364518305,2.1115016673881577,darbar
4387,R. K. Srikantan - Shoure.mp3-8,0.1943163275718689,0.41761462845690056,2836.6515887653313,1769.8756249183105,4440.273150275735,0.22160788143382354,-43.05091821141797,56.46308094117055,-79.20057856981171,50.99081284465218,-11.235506775576809,4.627861900660877,-14.212639569038188,8.568180382220099,-11.921399907977012,23.599936120521615,-5.8166091246075755,9.527952040343528,-5.794499589235929,6.474492385551917,-2.0592129555918617,1.2999091068486268,-4.797755091828932,3.921660522390936,-9.0175583757224,2.1083261969639047,darbar
4388,R. K. Srikantan - Shoure.mp3-9,0.11577408760786057,0.3666537028332748,3384.5640676097546,2285.4823364995773,6023.64690916457,0.2507634118614551,-79.32808021945354,25.556998561354984,-57.71204096083698,27.292418826982633,11.323124153818117,13.679617496364353,-8.717588884865256,14.628526740708837,-8.614778567046407,16.63111941305913,-2.657457904436411,3.435880868249765,-0.21602388430887634,3.7145609909972825,-3.508502513113448,14.50804392028588,0.7213463454513332,3.1259311764813638,-3.2635380108125895,3.0587494959432644,darbar
4389,R. K. Srikantan - Shoure.mp3-10,0.15858104825019836,0.3760617061175176,3137.4239815564442,2036.8720102602956,5172.118724905669,0.23831223998645512,-65.36055605591402,36.74966207569836,-60.649632778280626,47.30532104641915,1.4294724816916538,3.9363572083889338,-13.791408725758197,7.276533062611687,-9.71110611619049,19.666130831690644,-5.405950933869423,9.407946711115146,-3.3043782985346017,2.348099122566047,-1.648509632016839,3.3595209800940835,-4.951084142219239,0.566863496236179,-10.61999448172842,-1.1465179016169122,darbar
4390,M. S. Gopalakrishnan - Yachana.mp3-1,0.16679783165454865,0.2437427145621542,2134.3499681037656,1707.6892213874673,3787.4854309270995,0.1411079902767028,-137.06190333999953,89.08809553273761,-63.32987097416635,32.92254514893134,-20.83399014439481,-8.350855392522746,-7.031120436417894,-17.58687836032518,-20.81196148791914,-16.491884323861363,-9.872506263128214,-8.198643217680472,-8.200679633598714,-3.215022046612777,-0.3462074150957917,1.9422349648089663,0.009180278154878548,4.168255444675134,3.0372118079368513,3.27775249890688,darbar
4391,M. S. Gopalakrishnan - Yachana.mp3-2,0.18887951970100403,0.24112360228564736,2458.4200193785564,1795.5317789780959,4015.6757177583204,0.1774928798616486,-102.18880807590241,66.41283771794802,-63.66732761997113,29.009250698370515,-24.761156667261595,-11.664032385036908,-14.476916188743663,-8.066228479026844,-26.2463794207513,-9.873289522568223,-2.9039674725139495,-1.0772083013285638,-2.079833057761382,-6.7550120696428575,-5.629306180066146,-1.2724492491906394,0.6765262488569287,1.367300149628832,-2.8488025971717224,9.04588342816054,darbar
4392,M. S. Gopalakrishnan - Yachana.mp3-3,0.16702969372272491,0.2561741651473826,2056.623471493324,1729.2204666518046,3589.4449617840555,0.12907480529218265,-114.4019013226946,91.14528450944036,-64.35793208215787,30.870240973320932,-17.250444790936214,-11.845920228966802,-8.059946595276628,-11.459147158302855,-21.87699078920067,-18.185919300371783,-11.844047890373716,-9.136049563293252,-9.232270358179385,-7.134098800752983,-0.31253594679566876,1.8801570777330754,2.190306757515244,2.947188248314446,1.6412079041089105,5.6005928347980145,darbar
